id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
67078,1.255829,ospf,-,INT,28,0,3024,0,21.499743,254,0,18575.77734,0.0,0,0,46.512184,0.0,53.361172,0.0,0,0,0,0,0.0,0.0,0.0,108,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Exploits,1
152881,0.389838,tcp,-,FIN,12,8,4610,412,48.738193,254,252,86723.20313,7408.205078,3,2,35.313453,53.269285,2096.234098,74.187547,255,2809114375,3150263694,255,0.072744,0.016938,0.055806,384,52,0,0,3,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
156671,1.208678,tcp,http,FIN,10,10,846,1586,15.719654,62,252,5043.526855,9451.648438,2,2,134.196444,125.881445,8965.289433,182.050844,255,3394318625,1507584651,255,0.137224,0.075736,0.061488,85,159,1,339,2,1,1,1,1,1,0,0,1,1,1,0,Exploits,1
153915,1.286653,tcp,ftp-data,FIN,8,8,364,1292,11.658155,62,252,1983.440674,7032.19873,1,2,183.807576,175.872422,13613.97151,390.868812,255,3299977248,4087251197,255,0.109485,0.054866,0.054619,46,162,0,0,1,1,2,1,1,2,0,0,0,2,1,0,Exploits,1
58713,4e-06,unas,-,INT,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,2,2,3,0,0,0,2,3,0,Exploits,1
61239,0.281454,tcp,http,FIN,10,10,748,4650,67.506592,62,252,19157.66016,118953.7188,2,2,31.272667,29.506778,2165.440602,2603.266596,255,472973462,4019364637,255,0.033125,0.008151,0.024974,75,465,1,1885,1,1,1,1,1,1,0,0,1,1,1,0,Exploits,1
81180,9e-06,ipv6-no,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,2,4,3,3,13,0,0,0,4,9,0,Exploits,1
121241,3e-06,iso-ip,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,3,2,2,4,0,0,0,2,4,0,Exploits,1
165138,3e-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,2,2,3,0,0,0,2,3,0,Exploits,1
79922,1.775494,tcp,smtp,FIN,42,22,31123,1764,35.483083,62,252,136894.8594,7587.747559,17,8,43.304731,80.556953,3164.851305,127.329297,255,725497123,3670309751,255,0.158121,0.061578,0.096543,741,80,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
79001,3e-06,udp,-,INT,2,0,194,0,333333.3215,254,0,258666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,97,0,0,0,12,2,3,3,1,11,0,0,0,4,11,0,Fuzzers,1
79317,1.2e-05,udp,-,INT,2,0,2740,0,83333.33039,254,0,913333312.0,0.0,0,0,0.012,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1370,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Fuzzers,1
103573,9e-06,udp,-,INT,2,0,104,0,111111.1072,254,0,46222220.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,Fuzzers,1
120699,1.5497,tcp,-,FIN,60,14,68181,612,47.105891,254,252,346105.6875,2937.342773,27,1,25.102983,116.524,2446.416353,156.111047,255,3919936297,3246802997,255,0.319364,0.151404,0.16796,1136,44,1,0,9,1,1,1,1,2,0,0,1,2,2,0,Fuzzers,1
132151,0.677524,tcp,-,FIN,12,8,1252,712,28.043288,254,252,13555.24023,7356.197266,3,2,55.345092,87.514711,2933.117463,104.573656,255,2936052906,3154954324,255,0.121373,0.064913,0.05646,104,89,0,0,2,1,1,1,1,2,0,0,0,2,2,0,Fuzzers,1
100553,0.912914,tcp,-,FIN,22,10,17782,784,33.957197,254,252,148745.6719,6186.782227,8,2,43.427049,91.391891,3045.017716,110.508523,255,2180861548,269662022,255,0.150098,0.090378,0.05972,808,78,0,0,4,1,1,1,1,3,0,0,0,2,3,0,Fuzzers,1
101798,0.39876,tcp,http,FIN,10,6,2550,268,37.616612,254,252,46042.73438,4493.931152,2,1,42.736889,66.69,2259.009595,110.835688,255,3035158878,1146434056,255,0.101242,0.065301,0.035941,255,45,1,0,8,1,2,2,1,8,0,0,1,2,8,0,Fuzzers,1
50947,0.980991,tcp,-,FIN,10,8,534,354,17.329415,254,252,3922.563965,2528.055908,2,1,104.913222,134.983281,6018.392618,234.288516,255,1053208357,3066524398,255,0.124664,0.036105,0.088559,53,44,0,0,6,1,1,1,1,3,0,0,0,2,3,0,Fuzzers,1
130120,0.799338,tcp,-,FIN,10,6,738,268,18.765529,254,252,6655.507812,2241.855225,2,0,6902.0162,11507.916,682812.6582,25423.804,255,2355879794,2296510182,255,0.226509,0.083575,0.142934,74,45,0,0,7,1,5,5,5,6,0,0,0,6,6,0,Fuzzers,1
120554,32.572971,tcp,-,FIN,20,12,3292,536,0.951709,254,252,768.244324,120.83638,6,1,1712.699316,2952.34775,223955.9528,8849.891,255,4173617386,3721664338,255,0.185309,0.097133,0.088176,165,45,0,0,5,1,2,2,2,3,0,0,0,4,3,0,Fuzzers,1
153035,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,16,2,17,16,16,16,0,0,0,16,16,0,Generic,1
174083,3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,19,2,16,16,16,19,0,0,0,16,19,0,Generic,1
162418,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,26,2,19,18,18,26,0,0,0,18,26,0,Generic,1
172743,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,26,2,16,16,16,26,0,0,0,16,26,0,Generic,1
131714,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,20,2,16,16,16,20,0,0,0,16,20,0,Generic,1
161108,5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,13,2,13,13,13,13,0,0,0,13,13,0,Generic,1
153656,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,9,2,9,9,9,9,0,0,0,9,9,0,Generic,1
117417,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,34,2,35,34,16,34,0,0,0,34,34,0,Generic,1
154979,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,17,2,17,17,17,17,0,0,0,17,17,0,Generic,1
159636,5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,33,2,33,33,16,33,0,0,0,33,33,0,Generic,1
24253,0.001025,udp,dns,CON,2,2,146,178,2926.829254,31,29,569756.125,694634.125,0,0,0.004,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,4,0,6,2,1,2,0,0,0,6,4,0,Normal,0
89292,9e-06,tcp,-,REQ,2,0,90,0,111111.1072,254,0,40000000.0,0.0,1,0,0.009,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,13,6,3,1,1,13,0,0,0,3,13,0,Normal,0
19887,0.001069,udp,dns,CON,2,2,146,178,2806.361109,31,29,546304.9375,666043.0625,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,2,1,1,1,0,0,0,1,4,0,Normal,0
108438,0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.688,0.0,10.954514,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0
12065,0.07284,tcp,ssh,FIN,32,24,3728,5474,755.07965,31,29,396705.125,576166.9375,7,7,2.349677,3.137609,195.814573,6.597198,255,14223143,14512797,255,0.00067,0.000545,0.000125,117,228,0,0,2,0,1,2,1,2,0,0,0,3,1,0,Normal,0
28813,0.052064,tcp,-,FIN,72,74,4238,63516,2785.033721,31,29,642286.375,9627842.0,7,30,0.749551,0.705877,48.038104,46.125255,255,152399017,2302207754,255,0.000654,0.000532,0.000122,59,858,0,0,9,0,4,1,1,1,0,0,0,3,5,0,Normal,0
31781,0.017722,tcp,-,FIN,48,50,2958,33044,5473.423038,31,29,1307753.125,14618667.0,7,18,0.370532,0.350306,21.05721,20.397573,255,1080409455,1099418203,255,0.000676,0.000553,0.000123,62,661,0,0,4,0,3,1,1,2,0,0,0,4,8,0,Normal,0
21326,0.075932,tcp,smtp,FIN,52,42,37210,3380,1224.780009,31,29,3845019.0,347679.5,18,8,1.51176,1.838707,194.144243,6.412203,255,3773191380,1624565096,255,0.000677,0.000542,0.000135,716,80,0,0,1,0,3,1,1,1,0,0,0,3,1,0,Normal,0
12823,0.737501,tcp,ftp-data,FIN,8,12,424,8824,25.762676,31,29,4024.401123,87744.96094,1,4,105.301,66.998001,6995.000346,5570.001672,255,3065998799,3418159431,255,0.000645,0.000519,0.000126,53,735,0,0,2,0,2,1,1,3,0,0,0,7,2,0,Normal,0
27256,0.123076,tcp,-,FIN,22,24,2054,2478,365.627744,31,29,127465.9531,154376.1563,6,6,5.844191,5.326913,433.530902,414.813344,255,2619658541,470344714,255,0.000678,0.000553,0.000125,93,103,0,0,7,0,2,1,1,4,0,0,0,1,11,0,Normal,0
107753,0.518373,tcp,http,FIN,10,6,1282,268,28.936692,254,252,17809.56836,3456.969971,2,1,52.129444,89.169797,2659.299563,116.802688,255,522517530,3251581141,255,0.12456,0.07252,0.05204,128,45,1,0,2,1,1,1,1,1,0,0,1,1,1,0,Worms,1
113939,0.174514,tcp,http,FIN,10,6,1308,268,85.952992,254,252,54001.39844,10268.51758,2,1,19.301111,32.776801,1108.838175,59.31243,255,3588639009,1063879651,255,0.025277,0.010622,0.014655,131,45,1,0,1,1,1,1,1,1,0,0,1,12,1,0,Worms,1
114430,0.404662,tcp,http,FIN,10,6,1302,268,37.067972,254,252,23169.95313,4428.387207,2,1,44.857778,66.391797,2166.391485,96.569125,255,255971816,3662506664,255,0.133245,0.072699,0.060546,130,45,1,0,1,1,1,1,1,1,0,0,1,5,1,0,Worms,1
60625,0.648079,tcp,http,FIN,10,6,1302,268,23.145327,254,252,14467.37207,2765.094971,2,1,72.008778,113.040398,3671.29163,196.220906,255,2253411413,1723684448,255,0.174371,0.082273,0.092098,130,45,1,0,1,1,1,1,1,1,0,0,1,3,1,0,Worms,1
108943,0.317519,tcp,http,FIN,10,6,1302,268,47.241266,254,252,29528.94141,5643.756348,2,1,32.577889,54.511398,1600.674387,76.049305,255,1999662681,1064111785,255,0.090385,0.044958,0.045427,130,45,1,0,1,1,1,1,1,1,0,0,1,2,1,0,Worms,1
121142,0.561534,tcp,http,FIN,14,8,8682,354,37.397558,254,252,114856.8047,4416.473633,4,1,40.162539,72.06643,3122.274391,112.126883,255,4043959151,428521946,255,0.110487,0.057059,0.053428,620,44,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Worms,1
80530,0.919026,tcp,http,FIN,10,6,1308,268,16.321627,254,252,10254.33398,1949.890381,2,1,88.809222,153.711594,4679.620679,214.965313,255,3810482897,1564258190,255,0.275875,0.150467,0.125408,131,45,1,0,3,1,1,1,1,3,0,0,1,1,3,0,Worms,1
61091,0.223749,tcp,http,FIN,10,6,1308,268,67.039407,254,252,42118.625,8008.974609,2,1,23.364,42.921,1447.381706,70.750062,255,1517409605,1600178742,255,0.015213,0.00914,0.006073,131,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Worms,1
132521,1.3e-05,udp,-,INT,2,0,2050,0,76923.07779,254,0,630769216.0,0.0,0,0,0.013,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1025,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Worms,1
129878,1.636358,tcp,http,FIN,10,8,1292,354,10.388925,254,252,5685.797363,1515.560791,2,1,181.817556,209.429578,10278.5057,338.096344,255,2997885010,1505443127,255,0.18885,0.11366,0.07519,129,44,1,0,1,1,2,1,1,1,0,0,1,1,1,0,Worms,1
